Date,Nilai
2020-11-06 11:10:01.046769,1.18213
2020-11-06 11:10:30.120789,1.18212
2020-11-06 11:11:00.182469,1.18202
2020-11-06 11:11:30.247337,1.18194
2020-11-06 11:12:00.311067,1.18191
2020-11-06 11:12:30.379299,1.18192
2020-11-06 11:13:00.446025,1.18194
2020-11-06 11:13:30.511220,1.18196
2020-11-06 11:14:00.578352,1.18198
2020-11-06 11:14:30.647522,1.18208
